
Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  0     3.754754e-01   9.223263e+00                  9.223263e+00   
  1     3.754754e-01   9.223263e+00   9.223263e+00   1.676957e+00   3         1         5         
  2     3.754754e-01   9.223263e+00   1.676957e+00   1.826389e-01   4         1         5         
  3     3.754754e-01   9.223263e+00   1.826389e-01   1.842810e-02   5         1         5         
  4     2.482356e-01   4.974377e+00   1.842810e-02   1.842810e-02   6         2         0         
  5     1.868138e-01   2.053937e+00   1.842810e-02   4.607024e-02   7         3         0         
  6     1.690362e-01   1.194582e+00   1.453093e-02   1.151756e-01   8         4         0         
  7     1.608090e-01   9.876362e-01   9.989920e-03   2.879390e-01   9         5         0         
  8     1.608090e-01   9.876362e-01   3.432083e-02   8.580207e-03   10        5         5         
  9     1.548365e-01   8.854100e-01   8.580207e-03   2.145052e-02   11        6         0         
  10    1.421636e-01   9.507997e-01   2.145052e-02   5.362629e-02   12        7         0         
  11    1.421636e-01   9.507997e-01   5.362629e-02   8.579842e-03   13        7         5         
  12    1.378788e-01   8.066029e-01   8.579842e-03   2.144960e-02   14        8         0         
  13    1.378788e-01   8.066029e-01   2.144960e-02   2.829048e-03   15        8         5         
  14    1.360372e-01   6.202575e-01   2.829048e-03   7.072620e-03   16        9         0         
  15    1.327679e-01   8.010699e-01   7.072620e-03   1.768155e-02   17        10        0         
  16    1.327679e-01   8.010699e-01   1.768155e-02   2.230386e-03   18        10        5         
  17    1.327679e-01   8.010699e-01   2.230386e-03   3.285386e-04   19        10        5         
  18    1.325169e-01   7.292659e-01   3.285386e-04   8.213466e-04   20        11        0         
  19    1.325169e-01   7.292659e-01   8.213466e-04   9.049821e-05   21        11        5         
  20    1.324519e-01   7.064611e-01   9.049821e-05   2.262455e-04   22        12        0         
  21    1.322950e-01   6.785397e-01   2.262455e-04   5.656138e-04   23        13        0         
  22    1.322950e-01   6.785397e-01   5.656138e-04   5.878556e-05   24        13        5         
  23    1.322553e-01   6.675634e-01   5.878556e-05   1.469639e-04   25        14        0         
  24    1.321578e-01   6.599973e-01   1.469639e-04   3.674097e-04   26        15        0         
  25    1.321578e-01   6.599973e-01   3.674097e-04   3.711051e-05   27        15        5         
  26    1.321333e-01   6.554308e-01   3.711051e-05   9.277628e-05   28        16        0         
  27    1.320729e-01   6.492885e-01   9.277628e-05   2.319407e-04   29        17        0         
  28    1.320729e-01   6.492885e-01   2.319407e-04   2.343165e-05   30        17        5         
  29    1.320577e-01   6.479145e-01   2.343165e-05   5.857913e-05   31        18        0         
